department,municipality,crop,period,yield_t_ha,relative_yield,avg_temperature,total_precipitation,pest_alert,pest_name,species;;;;
Huila,Municipio_1,Maíz,2020A,2.03,0.6151515151515151,20.703035714285715,20.150752688172044,1,,;;;;
Cauca,Municipio_23,Caña de azúcar,2019A,0.84,0.2159383033419023,20.72262295081967,19.674705882352942,1,,;;;;
Valle del Cauca,Municipio_29,Plátano,2020A,0.85,0.22193211488250653,18.32952380952381,19.294457831325303,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Nariño,Municipio_30,Maíz,2024A,1.77,0.36196319018404904,19.789146341463415,20.943571428571428,1,,;;;;
Nariño,Municipio_32,Papa,2024A,2.31,0.5486935866983373,19.789146341463415,20.943571428571428,1,,;;;;
Huila,Municipio_33,Maíz,2020A,0.83,0.2515151515151515,20.703035714285715,20.150752688172044,1,,;;;;
Nariño,Municipio_39,Plátano,2023B,0.51,0.12378640776699029,20.486489361702127,20.89241379310345,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Antioquia,Municipio_44,Papa,2022B,1.32,0.3091334894613584,18.532027027027027,20.207,1,,;;;;
Tolima,Municipio_47,Caña de azúcar,2022A,0.78,0.17889908256880732,19.323636363636364,20.214615384615385,1,,;;;;
Cundinamarca,Municipio_0,Café,2022A,0.51,0.11778290993071594,19.109322033898305,20.18279411764706,1,,;;;;
Nariño,Municipio_2,Papa,2022A,2.83,0.672209026128266,20.219638554216868,19.06581081081081,1,,;;;;
Antioquia,Municipio_4,Tomate,2024A,0.59,0.1480552070263488,19.41078125,19.938644067796613,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Cundinamarca,Municipio_10,Plátano,2023B,0.71,0.1815856777493606,19.91877192982456,20.49142857142857,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Nariño,Municipio_17,Papa,2022A,1.07,0.25415676959619954,20.219638554216868,19.06581081081081,1,,;;;;
Cauca,Municipio_18,Maíz,2023B,2.56,0.6440251572327045,19.20607843137255,20.422608695652176,1,,;;;;
Nariño,Municipio_23,Tomate,2019A,2.05,0.4231166150670794,20.372999999999998,20.75675,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Valle del Cauca,Municipio_31,Papa,2022A,1.37,0.29815016322089233,20.03790322580645,20.672830188679246,1,,;;;;
Valle del Cauca,Municipio_32,Plátano,2019A,1.49,0.38903394255874674,20.181408450704225,19.79,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Cauca,Municipio_39,Tomate,2023A,1.65,0.39007092198581556,19.91261904761905,20.53529411764706,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Boyacá,Municipio_41,Arroz,2020B,1.89,0.3913043478260869,19.692,19.989056603773587,1,,;;;;
Cundinamarca,Municipio_48,Plátano,2022A,2.71,0.6930946291560102,19.109322033898305,20.18279411764706,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Valle del Cauca,Municipio_49,Caña de azúcar,2019A,1.41,0.32045454545454544,20.181408450704225,19.79,1,,;;;;
Huila,Municipio_0,Plátano,2020B,0.99,0.2773109243697479,19.882038834951455,20.447157894736844,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Antioquia,Municipio_1,Cebolla,2023B,1.98,0.47030878859857483,20.718405797101447,20.179552238805968,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Valle del Cauca,Municipio_2,Café,2019A,2.17,0.5279805352798053,20.181408450704225,19.79,1,,;;;;
Antioquia,Municipio_5,Caña de azúcar,2019A,2.23,0.5445665445665445,20.655535714285715,19.134545454545457,1,,;;;;
Boyacá,Municipio_14,Papa,2021A,2.2,0.5479452054794521,19.124363636363636,19.874307692307692,1,,;;;;
Tolima,Municipio_16,Papa,2023A,2.57,0.6393034825870647,20.069375,18.745662650602412,1,,;;;;
Huila,Municipio_18,Caña de azúcar,2022A,2.48,0.5040650406504065,20.970761904761904,19.92223880597015,1,,;;;;
Cauca,Municipio_20,Tomate,2021B,1.33,0.3144208037825059,19.6708,19.354285714285716,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Tolima,Municipio_37,Café,2019B,2.81,0.6929716399506782,19.906478873239436,19.50090909090909,1,,;;;;
Cauca,Municipio_42,Plátano,2020B,0.67,0.15820543093270364,19.080545454545454,19.468571428571426,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Nariño,Municipio_43,Cebolla,2019A,2.3,0.6216216216216215,20.372999999999998,20.75675,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Cundinamarca,Municipio_45,Cebolla,2019A,1.3,0.3425559947299078,19.56,19.83551282051282,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Cauca,Municipio_46,Café,2022B,2.04,0.4584269662921348,19.49561403508772,20.660851063829785,1,,;;;;
Tolima,Municipio_48,Papa,2024A,0.69,0.17164179104477612,21.651444444444447,19.802235294117647,1,,;;;;
Valle del Cauca,Municipio_0,Cebolla,2023A,0.76,0.17861339600470036,20.253103448275862,21.377042253521125,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Cundinamarca,Municipio_1,Cebolla,2023B,1.37,0.3610013175230567,19.91877192982456,20.49142857142857,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Cundinamarca,Municipio_5,Papa,2020B,2.84,0.6133909287257019,19.98813559322034,20.099622641509434,1,,;;;;
Boyacá,Municipio_9,Arroz,2020B,2.51,0.5196687370600414,19.692,19.989056603773587,1,,;;;;
Huila,Municipio_10,Papa,2019B,1.98,0.4829268292682927,20.789610389610388,19.68686046511628,1,,;;;;
Cundinamarca,Municipio_19,Papa,2019B,2.27,0.490280777537797,20.972285714285714,20.428955223880596,1,,;;;;
Valle del Cauca,Municipio_25,Café,2022B,1.35,0.3284671532846715,19.527916666666666,20.646349206349207,1,,;;;;
Nariño,Municipio_27,Café,2024A,1.53,0.31192660550458723,19.789146341463415,20.943571428571428,1,,;;;;
Antioquia,Municipio_28,Tomate,2019B,1.58,0.39648682559598497,19.741891891891893,19.624179104477612,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Antioquia,Municipio_30,Tomate,2020A,2.43,0.6097867001254705,19.96242424242424,18.93337837837838,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Huila,Municipio_35,Caña de azúcar,2023A,3.01,0.6117886178861788,19.474050632911393,20.17782608695652,1,,;;;;
Cundinamarca,Municipio_37,Café,2023B,2.19,0.5057736720554272,19.91877192982456,20.49142857142857,1,,;;;;
Nariño,Municipio_45,Cebolla,2024A,1.59,0.4297297297297297,19.789146341463415,20.943571428571428,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Nariño,Municipio_48,Café,2019A,2.81,0.5728848114169216,20.372999999999998,20.75675,1,,;;;;
Antioquia,Municipio_2,Plátano,2023A,1.91,0.4835443037974683,19.81875,19.040714285714284,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Valle del Cauca,Municipio_3,Plátano,2021A,1.81,0.47258485639686687,19.562539682539683,19.55327868852459,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Boyacá,Municipio_4,Arroz,2020B,2.76,0.5714285714285714,19.692,19.989056603773587,1,,;;;;
Antioquia,Municipio_5,Café,2023A,2.77,0.575883575883576,19.81875,19.040714285714284,1,,;;;;
Cauca,Municipio_6,Caña de azúcar,2020B,1.53,0.39331619537275064,19.080545454545454,19.468571428571426,1,,;;;;
Valle del Cauca,Municipio_13,Maíz,2019B,1.93,0.550641940085592,20.22736842105263,19.918163265306124,1,,;;;;
Cundinamarca,Municipio_17,Plátano,2020A,2.22,0.5677749360613811,20.91596153846154,20.497878787878786,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Nariño,Municipio_18,Papa,2019A,2.43,0.5771971496437055,20.372999999999998,20.75675,1,,;;;;
Nariño,Municipio_19,Maíz,2019A,2.47,0.5051124744376277,20.372999999999998,20.75675,1,,;;;;
Tolima,Municipio_21,Maíz,2019A,2.34,0.5625,20.95840579710145,20.62448717948718,1,,;;;;
Cundinamarca,Municipio_31,Papa,2021A,3.17,0.6846652267818575,19.247192982456138,19.495,1,,;;;;
Cundinamarca,Municipio_35,Cebolla,2022A,2.07,0.5454545454545454,19.109322033898305,20.18279411764706,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Antioquia,Municipio_36,Café,2022B,0.73,0.15176715176715178,18.532027027027027,20.207,1,,;;;;
Boyacá,Municipio_39,Papa,2023A,2.31,0.5753424657534247,18.263653846153847,19.01311475409836,1,,;;;;
Boyacá,Municipio_43,Plátano,2023B,1.9,0.5053191489361702,19.88578947368421,17.87703125,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Boyacá,Municipio_45,Tomate,2020A,0.96,0.2570281124497992,19.69450980392157,20.367727272727272,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Huila,Municipio_47,Tomate,2021B,1.02,0.2806052269601101,19.25777777777778,19.900219780219782,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Nariño,Municipio_48,Plátano,2020B,2.88,0.6990291262135921,21.84720430107527,20.24878787878788,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Cundinamarca,Municipio_49,Tomate,2020A,2.38,0.5891089108910891,20.91596153846154,20.497878787878786,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Valle del Cauca,Municipio_0,Plátano,2021A,2.45,0.6396866840731071,19.562539682539683,19.55327868852459,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Boyacá,Municipio_3,Arroz,2022B,1.4,0.28985507246376807,19.71015873015873,20.630892857142857,1,,;;;;
Antioquia,Municipio_5,Plátano,2022A,2.32,0.5873417721518986,20.358852459016394,19.217837837837838,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Cauca,Municipio_6,Papa,2020B,1.04,0.25679012345679014,19.080545454545454,19.468571428571426,1,,;;;;
Huila,Municipio_7,Café,2022B,0.68,0.1644498186215236,19.851956521739133,20.389647058823527,1,,;;;;
Valle del Cauca,Municipio_10,Tomate,2021A,0.63,0.13907284768211922,19.562539682539683,19.55327868852459,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Antioquia,Municipio_12,Arroz,2023B,2.45,0.5645161290322581,20.718405797101447,20.179552238805968,1,,;;;;
Cauca,Municipio_13,Maíz,2024A,2.14,0.5383647798742139,21.639607843137252,20.588297872340426,1,,;;;;
Boyacá,Municipio_17,Maíz,2023B,2.02,0.5172855313700384,19.88578947368421,17.87703125,1,,;;;;
Cauca,Municipio_18,Papa,2021B,0.55,0.1358024691358025,19.6708,19.354285714285716,1,,;;;;
Tolima,Municipio_22,Maíz,2023A,2.1,0.5048076923076923,20.069375,18.745662650602412,1,,;;;;
Antioquia,Municipio_24,Papa,2024A,1.03,0.2412177985948478,19.41078125,19.938644067796613,1,,;;;;
Huila,Municipio_27,Maíz,2023A,2.17,0.6575757575757576,19.474050632911393,20.17782608695652,1,,;;;;
Nariño,Municipio_33,Tomate,2022B,1.0,0.2063983488132095,19.881125,18.810873786407768,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Tolima,Municipio_34,Tomate,2020B,3.09,0.6798679867986799,19.973684210526315,19.801704545454545,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Huila,Municipio_38,Papa,2023B,1.92,0.4682926829268293,20.161704545454544,20.32278350515464,1,,;;;;
Cundinamarca,Municipio_39,Arroz,2023A,1.57,0.33333333333333337,19.48375,20.246825396825397,1,,;;;;
Tolima,Municipio_40,Maíz,2019B,2.23,0.5360576923076923,19.906478873239436,19.50090909090909,1,,;;;;
Tolima,Municipio_44,Caña de azúcar,2022A,2.75,0.6307339449541284,19.323636363636364,20.214615384615385,1,,;;;;
Valle del Cauca,Municipio_0,Papa,2023B,2.85,0.6202393906420022,19.20550724637681,19.326533333333334,1,,;;;;
Tolima,Municipio_1,Caña de azúcar,2021A,2.97,0.6811926605504587,21.329101123595507,20.579638554216867,1,,;;;;
Antioquia,Municipio_6,Cebolla,2023A,2.09,0.49643705463182897,19.81875,19.040714285714284,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Antioquia,Municipio_9,Tomate,2021B,0.9,0.2258469259723965,20.880289855072466,20.533137254901963,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Antioquia,Municipio_11,Maíz,2022B,0.62,0.14832535885167464,18.532027027027027,20.207,1,,;;;;
Tolima,Municipio_13,Maíz,2022B,1.38,0.3317307692307692,20.680860215053762,18.51787878787879,1,,;;;;
Cundinamarca,Municipio_14,Papa,2023A,1.08,0.23326133909287258,19.48375,20.246825396825397,1,,;;;;
Huila,Municipio_16,Arroz,2021A,1.17,0.2756183745583039,19.784823529411764,19.914601769911503,1,,;;;;
Valle del Cauca,Municipio_20,Maíz,2023A,1.87,0.5335235378031384,20.253103448275862,21.377042253521125,1,,;;;;
Cundinamarca,Municipio_21,Caña de azúcar,2021B,1.13,0.2665094339622641,19.52462962962963,20.04092307692308,1,,;;;;
Cauca,Municipio_22,Cebolla,2023A,2.21,0.506880733944954,19.91261904761905,20.53529411764706,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Cauca,Municipio_25,Plátano,2022B,2.64,0.6233766233766234,19.49561403508772,20.660851063829785,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Boyacá,Municipio_26,Cebolla,2021B,2.05,0.5074257425742575,20.243703703703705,20.21061224489796,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Boyacá,Municipio_27,Plátano,2022B,1.68,0.4468085106382979,19.71015873015873,20.630892857142857,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Nariño,Municipio_28,Arroz,2021B,2.16,0.4711014176663032,20.41,20.357157894736844,1,,;;;;
Antioquia,Municipio_29,Café,2021B,2.04,0.42411642411642414,20.880289855072466,20.533137254901963,1,,;;;;
Cauca,Municipio_31,Maíz,2023A,0.65,0.16352201257861637,19.91261904761905,20.53529411764706,1,,;;;;
Cauca,Municipio_33,Tomate,2020B,0.81,0.19148936170212766,19.080545454545454,19.468571428571426,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Antioquia,Municipio_36,Maíz,2020B,1.08,0.2583732057416268,20.322758620689655,20.69054054054054,1,,;;;;
Antioquia,Municipio_38,Cebolla,2020B,2.42,0.5748218527315915,20.322758620689655,20.69054054054054,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Boyacá,Municipio_43,Arroz,2023B,2.31,0.4782608695652174,19.88578947368421,17.87703125,1,,;;;;
Valle del Cauca,Municipio_46,Papa,2019B,2.87,0.6245919477693145,20.22736842105263,19.918163265306124,1,,;;;;
Cauca,Municipio_48,Plátano,2021A,2.28,0.538370720188902,19.70551020408163,21.32767441860465,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Cundinamarca,Municipio_1,Cebolla,2019B,0.91,0.23978919631093545,20.972285714285714,20.428955223880596,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Antioquia,Municipio_4,Maíz,2023A,2.78,0.6650717703349283,19.81875,19.040714285714284,1,,;;;;
Antioquia,Municipio_5,Cebolla,2020A,1.47,0.3491686460807601,19.96242424242424,18.93337837837838,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Huila,Municipio_7,Plátano,2021B,2.16,0.6050420168067228,19.25777777777778,19.900219780219782,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Boyacá,Municipio_10,Maíz,2021A,2.54,0.6504481434058899,19.124363636363636,19.874307692307692,1,,;;;;
Boyacá,Municipio_11,Caña de azúcar,2022B,2.63,0.6073903002309469,19.71015873015873,20.630892857142857,1,,;;;;
Antioquia,Municipio_12,Arroz,2023B,0.96,0.22119815668202764,20.718405797101447,20.179552238805968,1,,;;;;
Nariño,Municipio_15,Maíz,2020B,1.67,0.3415132924335378,21.84720430107527,20.24878787878788,1,,;;;;
Boyacá,Municipio_18,Arroz,2022A,2.03,0.42028985507246375,22.0794,20.42222222222222,1,,;;;;
Huila,Municipio_23,Plátano,2023B,1.31,0.3669467787114846,20.161704545454544,20.32278350515464,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Tolima,Municipio_24,Plátano,2023B,2.11,0.6133720930232558,20.36078947368421,19.333333333333332,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Cauca,Municipio_25,Caña de azúcar,2021B,1.62,0.41645244215938304,19.6708,19.354285714285716,1,,;;;;
Antioquia,Municipio_26,Cebolla,2023B,1.8,0.4275534441805226,20.718405797101447,20.179552238805968,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Cundinamarca,Municipio_32,Tomate,2024A,2.62,0.6485148514851485,18.88375,19.75709677419355,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Valle del Cauca,Municipio_34,Café,2022A,1.0,0.24330900243309,20.03790322580645,20.672830188679246,1,,;;;;
Boyacá,Municipio_35,Papa,2020A,1.27,0.3163138231631383,19.69450980392157,20.367727272727272,1,,;;;;
Cundinamarca,Municipio_39,Plátano,2021B,1.5,0.3836317135549872,19.52462962962963,20.04092307692308,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Cauca,Municipio_41,Tomate,2023B,2.26,0.5342789598108746,19.20607843137255,20.422608695652176,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Tolima,Municipio_42,Cebolla,2022B,3.08,0.6754385964912282,20.680860215053762,18.51787878787879,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Valle del Cauca,Municipio_48,Café,2024A,0.57,0.13868613138686128,20.928125,20.160983606557377,1,,;;;;
Cauca,Municipio_49,Arroz,2023A,1.69,0.3784994400895857,19.91261904761905,20.53529411764706,1,,;;;;
Antioquia,Municipio_3,Maíz,2023B,0.99,0.2368421052631579,20.718405797101447,20.179552238805968,1,,;;;;
Cauca,Municipio_4,Caña de azúcar,2019B,0.69,0.1773778920308483,20.169999999999998,19.436666666666667,1,,;;;;
Antioquia,Municipio_8,Papa,2021A,2.15,0.5035128805620609,21.0559375,21.03790322580645,1,,;;;;
Antioquia,Municipio_9,Arroz,2019A,2.28,0.5253456221198156,20.655535714285715,19.134545454545457,1,,;;;;
Cauca,Municipio_12,Plátano,2023B,2.66,0.628099173553719,19.20607843137255,20.422608695652176,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Cauca,Municipio_15,Arroz,2021B,0.8,0.17917133258678614,19.6708,19.354285714285716,1,,;;;;
Nariño,Municipio_18,Papa,2024A,0.54,0.12826603325415678,19.789146341463415,20.943571428571428,1,,;;;;
Cundinamarca,Municipio_20,Cebolla,2021B,0.88,0.2318840579710145,19.52462962962963,20.04092307692308,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Cauca,Municipio_26,Cebolla,2022B,2.81,0.6444954128440367,19.49561403508772,20.660851063829785,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Nariño,Municipio_28,Papa,2024A,1.15,0.2731591448931116,19.789146341463415,20.943571428571428,1,,;;;;
Huila,Municipio_30,Tomate,2022A,0.69,0.18982118294360384,20.970761904761904,19.92223880597015,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Antioquia,Municipio_39,Arroz,2020A,2.41,0.555299539170507,19.96242424242424,18.93337837837838,1,,;;;;
Tolima,Municipio_41,Caña de azúcar,2022B,0.91,0.20871559633027523,20.680860215053762,18.51787878787879,1,,;;;;
Nariño,Municipio_42,Plátano,2022A,2.54,0.616504854368932,20.219638554216868,19.06581081081081,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Cundinamarca,Municipio_43,Maíz,2020B,1.31,0.2997711670480549,19.98813559322034,20.099622641509434,1,,;;;;
Tolima,Municipio_49,Plátano,2019B,2.25,0.6540697674418605,19.906478873239436,19.50090909090909,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Boyacá,Municipio_8,Café,2024A,2.06,0.5508021390374331,19.69103448275862,20.792575757575758,1,,;;;;
Boyacá,Municipio_9,Caña de azúcar,2020B,0.75,0.17321016166281755,19.692,19.989056603773587,1,,;;;;
Nariño,Municipio_21,Tomate,2019A,2.28,0.47058823529411764,20.372999999999998,20.75675,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Valle del Cauca,Municipio_22,Caña de azúcar,2021A,1.61,0.3659090909090909,19.562539682539683,19.55327868852459,1,,;;;;
Tolima,Municipio_29,Café,2019A,2.35,0.5795314426633786,20.95840579710145,20.62448717948718,1,,;;;;
Cundinamarca,Municipio_30,Caña de azúcar,2019B,2.07,0.48820754716981124,20.972285714285714,20.428955223880596,1,,;;;;
Valle del Cauca,Municipio_31,Papa,2024A,2.8,0.6093579978237215,20.928125,20.160983606557377,1,,;;;;
Cauca,Municipio_33,Tomate,2022A,1.9,0.4491725768321512,19.10884615384615,20.598727272727274,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Tolima,Municipio_34,Papa,2020B,1.97,0.49004975124378114,19.973684210526315,19.801704545454545,1,,;;;;
Huila,Municipio_39,Tomate,2019A,1.54,0.4236588720770289,20.35783505154639,20.50613636363636,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Cauca,Municipio_41,Caña de azúcar,2023A,1.16,0.29820051413881743,19.91261904761905,20.53529411764706,1,,;;;;
Valle del Cauca,Municipio_42,Cebolla,2020B,2.16,0.5076380728554643,19.326249999999998,18.41060606060606,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Nariño,Municipio_48,Arroz,2024A,1.9,0.4143947655398037,19.789146341463415,20.943571428571428,1,,;;;;
Nariño,Municipio_1,Maíz,2023B,1.1,0.2249488752556237,20.486489361702127,20.89241379310345,1,,;;;;
Valle del Cauca,Municipio_3,Cebolla,2019A,0.71,0.16686251468860164,20.181408450704225,19.79,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Antioquia,Municipio_4,Arroz,2022B,1.18,0.271889400921659,18.532027027027027,20.207,1,,;;;;
Cundinamarca,Municipio_5,Plátano,2019B,2.63,0.6726342710997442,20.972285714285714,20.428955223880596,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Cundinamarca,Municipio_6,Arroz,2023A,2.32,0.4925690021231422,19.48375,20.246825396825397,1,,;;;;
Valle del Cauca,Municipio_17,Plátano,2020B,0.98,0.2558746736292428,19.326249999999998,18.41060606060606,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Valle del Cauca,Municipio_19,Maíz,2019B,2.39,0.68188302425107,20.22736842105263,19.918163265306124,1,,;;;;
Valle del Cauca,Municipio_20,Cebolla,2022B,2.41,0.5663924794359577,19.527916666666666,20.646349206349207,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Cauca,Municipio_23,Papa,2019B,1.69,0.41728395061728396,20.169999999999998,19.436666666666667,1,,;;;;
Cundinamarca,Municipio_26,Plátano,2022A,1.64,0.41943734015345263,19.109322033898305,20.18279411764706,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Valle del Cauca,Municipio_30,Plátano,2022A,1.1,0.28720626631853785,20.03790322580645,20.672830188679246,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Cundinamarca,Municipio_33,Plátano,2023A,1.93,0.4936061381074168,19.48375,20.246825396825397,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
